Granularidade Geográfica;Categoria;Filtro;Estado;UF;Ano;Valor;Tipo Valor;Indicador
Bahia;Localidade;Total;Bahia;BA;2018;0,6317;%;1.2
Ceará;Localidade;Total;Ceará;CE;2018;0,6689;%;1.2
Distrito Federal;Localidade;Total;Distrito Federal;DF;2018;0,2792;%;1.2
Espírito Santo;Localidade;Total;Espírito Santo;ES;2018;0,5279;%;1.2
Goiás;Localidade;Total;Goiás;GO;2018;0,602;%;1.2
Maranhão;Localidade;Total;Maranhão;MA;2018;0,6834;%;1.2
Minas Gerais;Localidade;Total;Minas Gerais;MG;2018;0,6155;%;1.2
Mato Grosso do Sul;Localidade;Total;Mato Grosso do Sul;MS;2018;0,7783;%;1.2
Mato Grosso;Localidade;Total;Mato Grosso;MT;2018;0,569;%;1.2
Pará;Localidade;Total;Pará;PA;2018;0,4317;%;1.2
Paraíba;Localidade;Total;Paraíba;PB;2018;0,921;%;1.2
Pernambuco;Localidade;Total;Pernambuco;PE;2018;0,6449;%;1.2
Piauí;Localidade;Total;Piauí;PI;2018;0,9754;%;1.2
Paraná;Localidade;Total;Paraná;PR;2018;0,5285;%;1.2
Rio de Janeiro;Localidade;Total;Rio de Janeiro;RJ;2018;0,3476;%;1.2
Rio Grande do Norte;Localidade;Total;Rio Grande do Norte;RN;2018;0,7605;%;1.2
Rondônia;Localidade;Total;Rondônia;RO;2018;0,3208;%;1.2
Roraima;Localidade;Total;Roraima;RR;2018;0,5043;%;1.2
Rio Grande do Sul;Localidade;Total;Rio Grande do Sul;RS;2018;0,4373;%;1.2
Santa Catarina;Localidade;Total;Santa Catarina;SC;2018;0,589;%;1.2
Sergipe;Localidade;Total;Sergipe;SE;2018;0,7567;%;1.2
São Paulo;Localidade;Total;São Paulo;SP;2018;0,3421;%;1.2
Tocantins;Localidade;Total;Tocantins;TO;2018;0,8833;%;1.2
Brasil;Localidade;Total;;;2018;0,5271;%;1.2
Acre;Localidade;Total;Acre;AC;2019;0,6103;%;1.2
Alagoas;Localidade;Total;Alagoas;AL;2019;0,7249;%;1.2
Amazonas;Localidade;Total;Amazonas;AM;2019;0,4952;%;1.2
